company,fiscal_year_end,year,employees,revenue_usd_m,operating_income_usd_m,revenue_per_employee_usd_k,op_income_per_employee_usd_k
Nvidia,January,2021,19532,16675,4532,854,232
Nvidia,January,2022,22473,26974,5577,1201,248
Nvidia,January,2023,26196,26914,32972,1028,1259
Nvidia,January,2024,29600,60922,81453,2057,2752
Nvidia,January,2025,36000,130497,130387,3625,3622
Meta,December,2021,71970,117929,46753,1638,650
Meta,December,2022,86482,116609,28941,1348,335
Meta,December,2023,67317,134902,46751,2004,695
Meta,December,2024,74067,164501,69380,2220,936
Meta,December,2025,78865,200966,83276,2549,1056
Microsoft,June,2021,181000,168088,83383,929,461
Microsoft,June,2022,221000,198270,83383,897,377
Microsoft,June,2023,221000,211915,88523,959,400
Microsoft,June,2024,228000,245122,109433,1075,480
Microsoft,June,2025,228000,281724,128528,1236,564
Alphabet,December,2021,156500,257637,78714,1646,503
Alphabet,December,2022,190234,282836,74842,1487,393
Alphabet,December,2023,182502,307394,84293,1684,462
Alphabet,December,2024,183323,350018,112390,1909,613
Alphabet,December,2025,190820,402836,129039,2112,677
Apple,September,2021,154000,365817,108949,2375,708
Apple,September,2022,164000,394328,119437,2404,728
Apple,September,2023,161000,383285,114301,2381,710
Apple,September,2024,164000,391035,123216,2384,751
Apple,September,2025,166000,416160,133050,2507,802
Netflix,December,2021,11300,29698,6195,2628,548
Netflix,December,2022,12800,31616,5633,2470,440
Netflix,December,2023,13000,33723,6954,2594,535
Netflix,December,2024,14000,39001,10418,2786,744
Netflix,December,2025,16000,45183,13327,2824,833
Amazon,December,2021,1608000,469822,24879,292,15
Amazon,December,2022,1541000,513983,12248,334,8
Amazon,December,2023,1525000,574785,36852,377,24
Amazon,December,2024,1556000,637959,68593,410,44
Amazon,December,2025,1576000,716924,79975,455,51
